Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
42,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,1,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,2048
44,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,3,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332d3c0,512
45,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,4,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
52,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,11,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cf80,2048
54,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,13,3394554,3394554,262144,256,0,0,80,0,128,32,0x0,0x781a1332d000,8192
55,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,14,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332d380,2048
57,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,16,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,2048
59,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,18,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332d3c0,512
60,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,19,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
67,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,26,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cf80,2048
69,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,28,3394554,3394554,262144,256,0,0,80,0,128,32,0x0,0x781a1332d000,8192
70,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,29,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332d380,2048
72,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,31,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,2048
74,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,33,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
75,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,34,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
82,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,41,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cf80,2048
84,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,43,3394554,3394554,262144,256,0,0,80,0,128,32,0x0,0x781a1332d000,8192
85,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,44,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cf80,2048
87,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,46,3394554,3394554,65536,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,2048
89,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,48,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
90,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,49,3394554,3394554,16384,256,0,0,72,0,128,32,0x0,0x781a1332cfc0,512
